1,0.53,0.63,0.64,0.69,0.64,0.7,0.71,0.57,0.64,0.57,0.46,0.62
0.53,1,0.64,0.61,0.62,0.72,0.56,0.61,0.48,0.64,0.57,0.46,0.62
0.63,0.64,1,0.9,0.86,0.81,0.84,0.57,0.67,0.65,0.48,0.59,0.62
0.64,0.61,0.9,1,0.86,0.79,0.83,0.57,0.68,0.67,0.46,0.55,0.65
0.69,0.62,0.86,0.86,1,0.8,0.84,0.63,0.66,0.66,0.5,0.51,0.66
0.64,0.72,0.81,0.79,0.8,1,0.78,0.66,0.55,0.58,0.6,0.57,0.56
0.7,0.56,0.84,0.83,0.84,0.78,1,0.67,0.65,0.67,0.53,0.53,0.66
0.71,0.61,0.57,0.57,0.63,0.66,0.67,1,0.62,0.76,0.76,0.57,0.63
0.57,0.48,0.67,0.68,0.66,0.55,0.65,0.62,1,0.8,0.43,0.46,0.64
0.64,0.64,0.65,0.67,0.66,0.58,0.67,0.76,0.8,1,0.55,0.5,0.66
0.57,0.57,0.48,0.46,0.5,0.6,0.53,0.76,0.43,0.55,1,0.77,0.67
0.46,0.46,0.59,0.55,0.51,0.57,0.53,0.57,0.46,0.5,0.77,1,0.64
0.62,0.62,0.62,0.65,0.66,0.56,0.66,0.63,0.64,0.66,0.67,0.64,1