State,Evotes,Sample_Size,Time,Clinton,Trump,Johnson
Virginia,13,743,67,0.495,0.375,0.082381
Virginia,13,560,67,0.363,0.287,0.12
Virginia,13,685,60,0.4,0.37,0.08
Virginia,13,878,59,0.4588,0.3812,0.06
Virginia,13,560,59,0.373,0.307,0.09
Virginia,13,435,57,0.465,0.385,0.082381
Virginia,13,1237,55,0.445,0.375,0.07
Virginia,13,841,54,0.4385,0.3715,0.08
Virginia,13,659,52,0.455,0.385,0.08
Virginia,13,616,52,0.363,0.367,0.08
Virginia,13,495,51,0.4615,0.4985,0.082381
Virginia,13,1003,50,0.387,0.333,0.15
Virginia,13,452,50,0.465,0.395,0.082381
Virginia,13,849,47,0.475,0.405,0.082381
Virginia,13,546,46,0.403,0.317,0.08
Virginia,13,510,43,0.4515,0.4985,0.04
Virginia,13,811,42,0.4688,0.3912,0.07
Virginia,13,892,41,0.417,0.353,0.12
Virginia,13,800,39,0.4595,0.3405,0.082381
Virginia,13,629,39,0.413,0.267,0.07
Virginia,13,479,36,0.495,0.395,0.08
Virginia,13,814,35,0.4485,0.3615,0.07
Virginia,13,325,34,0.4815,0.4685,0.08
Virginia,13,884,33,0.485,0.395,0.082381
Virginia,13,539,32,0.343,0.367,0.06
Virginia,13,600,28,0.4665,0.4235,0.06
Virginia,13,809,27,0.437,0.293,0.11
Virginia,13,334,27,0.5015,0.4585,0.082381
Virginia,13,1644,27,0.49,0.38,0.08000